"Season","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR"
"2022","NYM","2340","6176","171","772","735","62","8.3%","19.7%",".153",".302",".259",".332",".412",".326","","116","-10.7","103.7","-13.0","31.3"
"2017","STL","2416","6219","196","761","728","81","9.5%","21.7%",".170",".304",".256",".334",".426",".326","","101","2.0","8.4","39.9","25.8"
"2016","BAL","2257","6089","253","744","710","19","7.7%","21.7%",".188",".291",".256",".317",".443",".326","","103","2.5","22.6","-21.4","21.4"
"2018","WSN","2441","6288","191","771","737","119","10.0%","20.5%",".164",".297",".254",".335",".419",".325","","101","8.4","14.5","21.3","23.7"
"2016","SEA","2371","6227","223","768","735","56","8.1%","20.7%",".171",".297",".259",".326",".430",".325","","108","-13.5","44.6","-26.8","23.6"
"2019","NYM","2445","6290","242","791","767","56","8.2%","22.0%",".185",".299",".257",".328",".442",".325","","105","-17.0","24.3","28.1","24.6"
"2020","TBR","946","2261","80","289","274","48","10.7%","26.9%",".187",".300",".238",".328",".425",".325","","111","5.6","35.1","2.3","9.5"
"2017","CIN","2321","6213","219","753","715","120","9.1%","21.4%",".179",".294",".253",".329",".433",".325","","95","-5.3","-47.4","54.3","21.6"
"2018","COL","2368","6178","210","780","748","95","8.2%","22.6%",".179",".304",".256",".322",".435",".325","","88","3.2","-85.1","47.6","15.8"
"2015","HOU","2333","6073","230","729","691","121","8.0%","22.9%",".187",".292",".250",".315",".437",".325","","108","8.1","66.8","-19.6","26.1"
"2017","MIA","2399","6248","194","778","743","91","7.8%","20.5%",".163",".313",".267",".331",".431",".325","","101","1.4","9.0","36.6","25.6"
"2016","TEX","2324","6089","215","765","746","99","7.2%","20.0%",".172",".298",".262",".322",".433",".324","","95","2.0","-37.0","-0.2","17.5"
"2022","HOU","2279","6054","214","737","715","83","8.7%","19.5%",".176",".278",".248",".319",".424",".324","","112","-8.9","75.3","13.4","29.5"
"2019","MIL","2514","6309","250","769","744","101","10.0%","24.8%",".192",".296",".246",".329",".438",".324","","97","5.9","-20.4","61.5","23.5"
"2015","DET","2340","6159","151","689","660","83","7.4%","20.4%",".150",".322",".270",".328",".420",".324","","103","-27.6","-8.6","-31.6","17.1"
"2020","BAL","906","2242","77","274","264","19","7.3%","22.9%",".171",".309",".258",".321",".429",".323","","102","-4.1","1.2","-22.8","3.7"
"2015","NYY","2401","6268","212","764","737","63","8.8%","19.6%",".170",".283",".251",".323",".421",".323","","103","3.0","25.3","-35.3","20.7"
"2021","ATL","2392","6056","239","790","762","59","9.1%","24.0%",".191",".288",".244",".319",".435",".323","","99","5.4","-6.3","42.6","24.0"
"2017","OAK","2350","6126","234","739","708","57","9.2%","24.3%",".190",".294",".246",".319",".436",".323","","103","-5.5","19.9","-53.6","17.0"
"2021","TBR","2389","6213","222","857","810","88","9.4%","24.8%",".186",".294",".243",".321",".429",".322","","109","11.2","81.1","21.4","31.5"
"2018","TBR","2371","6195","150","716","664","128","8.7%","22.4%",".148",".317",".258",".333",".406",".322","","107","-0.3","48.7","-34.4","23.1"
"2018","MIL","2496","6210","218","754","711","124","8.6%","23.5%",".172",".302",".252",".323",".424",".322","","100","8.2","7.7","76.7","28.4"
"2015","LAD","2379","6090","187","667","638","59","9.2%","20.7%",".163",".292",".250",".326",".413",".322","","106","-15.3","28.2","57.3","29.0"
"2017","NYM","2396","6169","224","735","713","58","8.6%","20.9%",".184",".286",".250",".320",".434",".322","","101","-11.3","-7.2","1.1","20.2"
"2022","PHI","2327","6077","205","747","719","105","7.9%","22.4%",".169",".299",".253",".317",".422",".322","","106","9.9","51.2","-50.0","21.6"
"2016","WSN","2302","6201","203","763","735","121","8.6%","20.2%",".170",".293",".256",".326",".426",".322","","96","16.0","-16.4","43.1","22.7"
"2016","ARI","2399","6260","190","752","709","137","7.4%","22.8%",".171",".315",".261",".320",".432",".321","","93","17.7","-39.9","6.1","16.7"
"2017","TEX","2268","6122","237","799","756","113","8.9%","24.4%",".186",".291",".244",".320",".430",".321","","90","6.3","-70.2","-22.5","11.2"
"2017","MIL","2423","6135","224","732","695","128","8.9%","25.6%",".180",".308",".249",".322",".429",".321","","94","2.4","-48.6","67.1","22.5"
"2015","BOS","2268","6237","161","748","706","71","7.7%","18.4%",".149",".305",".265",".325",".415",".321","","99","1.4","-5.9","-28.9","17.9"
"2015","COL","2436","6071","186","737","702","97","6.4%","21.1%",".167",".313",".265",".315",".432",".321","","87","4.7","-91.9","-4.2","9.7"
"2017","SEA","2323","6166","200","750","714","89","7.9%","20.5%",".165",".300",".259",".325",".424",".321","","103","-12.6","7.1","26.9","23.9"
"2017","DET","2336","6150","187","735","699","65","8.2%","21.3%",".166",".306",".258",".324",".424",".321","","98","-19.8","-37.8","-63.3","10.4"
"2018","CHC","2490","6369","167","761","722","66","9.0%","21.8%",".152",".313",".258",".333",".410",".321","","100","2.2","3.4","59.3","26.7"
"2019","TBR","2459","6285","217","769","730","94","8.6%","23.8%",".178",".306",".254",".325",".431",".321","","104","8.4","40.6","-0.9","25.9"
"2015","TEX","2358","6187","172","751","707","101","8.1%","19.9%",".156",".300",".257",".325",".413",".321","","98","21.6","4.8","-3.0","21.6"
"2019","ARI","2418","6315","220","813","778","88","8.6%","21.5%",".182",".293",".252",".323",".434",".319","","93","18.3","-37.5","79.4","23.6"
"2020","MIN","882","2168","91","269","258","14","8.6%","24.4%",".186",".283",".242",".315",".427",".319","","103","0.4","8.4","-2.7","9.8"
"2019","CLE","2321","6124","223","769","731","103","9.2%","21.8%",".183",".289",".250",".323",".432",".319","","97","4.3","-16.3","36.4","23.4"
"2015","ARI","2393","6276","154","720","680","132","7.8%","20.9%",".150",".316",".264",".324",".414",".319","","95","12.5","-23.3","32.6","21.6"
"2018","ATL","2377","6251","175","759","717","90","8.2%","20.6%",".161",".302",".257",".324",".417",".319","","96","12.6","-18.5","68.5","25.0"
"2022","BOS","2379","6144","155","735","704","52","7.8%","22.3%",".152",".313",".258",".321",".409",".319","","102","-11.5","4.1","-28.4","18.0"
"2018","TOR","2435","6076","217","709","680","47","8.2%","22.8%",".183",".286",".244",".312",".427",".319","","100","-27.1","-29.7","-31.8","14.9"
"2016","PIT","2458","6261","153","729","696","110","9.0%","21.3%",".144",".311",".257",".332",".402",".318","","97","-6.7","-26.5","48.7","22.4"
"2017","BAL","2351","6140","232","743","713","32","6.4%","23.0%",".175",".306",".260",".312",".435",".318","","95","-14.9","-51.3","-47.9","10.6"
"2015","SFG","2342","6153","136","696","663","93","7.4%","18.8%",".139",".313",".267",".326",".406",".318","","104","-0.4","25.5","62.0","29.5"
"2015","KCR","2263","6116","139","724","689","104","6.3%","15.9%",".144",".301",".269",".322",".412",".318","","99","-0.3","-8.3","13.8","21.8"
"2021","MIN","2356","6078","228","729","690","54","8.6%","23.1%",".182",".282",".241",".314",".423",".318","","102","-3.1","14.5","-9.4","21.3"
"2019","TEX","2273","6204","223","810","765","131","8.6%","25.4%",".183",".304",".248",".319",".431",".317","","88","12.0","-86.8","-47.3","8.7"
"2021","NYY","2354","6060","222","711","666","63","10.2%","24.5%",".169",".285",".237",".322",".407",".317","","101","-15.1","-4.5","-37.4","16.5"
"2016","MIN","2290","6245","200","722","690","91","8.2%","22.8%",".171",".300",".251",".316",".421",".317","","95","7.8","-28.5","-29.8","15.8"
"2018","CIN","2402","6240","172","696","665","77","9.0%","22.1%",".148",".307",".254",".328",".401",".317","","94","-1.9","-44.8","18.9","17.2"
"2022","MIL","2363","6122","219","725","703","96","9.4%","23.9%",".174",".279",".235",".315",".409",".317","","104","5.6","30.9","-4.8","24.3"
"2016","HOU","2334","6204","198","724","689","102","8.9%","23.4%",".170",".298",".247",".319",".417",".317","","101","-5.4","2.8","25.8","24.6"
"2019","LAA","2425","6251","220","769","734","65","9.4%","20.4%",".175",".281",".247",".324",".422",".316","","96","-6.1","-41.1","-8.3","17.1"
"2017","BOS","2334","6338","168","785","735","106","9.0%","19.3%",".149",".300",".258",".329",".407",".316","","91","4.9","-64.0","5.7","15.3"
"2018","STL","2464","6200","205","759","725","63","8.5%","22.3%",".160",".294",".249",".321",".409",".316","","99","12.9","7.9","9.5","21.5"
"2017","ATL","2374","6216","165","732","706","77","7.6%","19.0%",".150",".305",".263",".326",".412",".316","","89","4.3","-87.6","24.9","14.7"
"2017","TBR","2345","6147","228","694","671","88","8.9%","25.0%",".178",".296",".245",".317",".422",".316","","99","11.2","1.1","-2.0","20.4"
"2015","CLE","2285","6109","141","669","640","86","8.7%","18.9%",".144",".299",".256",".325",".401",".315","","97","8.1","-15.6","-4.5","19.1"
"2016","MIL","2342","6061","194","671","641","181","9.9%","25.5%",".163",".304",".244",".322",".407",".315","","92","5.2","-55.2","15.0","15.4"
"2015","BAL","2249","6007","217","713","686","44","7.0%","22.2%",".171",".291",".250",".307",".421",".315","","97","-4.9","-23.9","-5.9","17.7"
